,stationName,maxDay,maxval,minDay,minval,difference
0,18th,Friday,190150,Sunday,90490,99660
1,35-Bronzeville-IIT,Friday,174938,Sunday,65836,109102
2,35th/Archer,Tuesday,319653,Sunday,110763,208890
3,43rd,Tuesday,105400,Sunday,38171,67229
4,47th-Dan Ryan,Friday,295918,Sunday,161521,134397
5,47th-South Elevated,Friday,113791,Sunday,46834,66957
6,51st,Tuesday,102459,Sunday,48526,53933
7,54th/Cermak,Tuesday,224393,Sunday,82780,141613
8,63rd-Dan Ryan,Tuesday,308844,Sunday,178428,130416
9,69th,Friday,484417,Sunday,271094,213323
10,79th,Friday,667090,Sunday,375104,291986
11,87th,Tuesday,405359,Sunday,223957,181402
12,95th/Dan Ryan,Tuesday,976568,Sunday,468905,507663
13,Adams/Wabash,Thursday,795698,Sunday,254450,541248
14,Addison-Brown,Tuesday,263299,Sunday,76174,187125
15,Addison-North Main,Friday,903668,Sunday,605622,298046
16,Addison-O'Hare,Thursday,315546,Sunday,101939,213607
17,Argyle,Friday,318901,Sunday,191206,127695
18,Armitage,Tuesday,440934,Sunday,159633,281301
19,Ashland-Lake,Friday,258343,Sunday,89687,168656
20,Ashland-Orange,Wednesday,165091,Sunday,67972,97119
21,Ashland/63rd,Wednesday,110218,Sunday,45227,64991
22,Austin-Forest Park,Tuesday,201119,Sunday,61837,139282
23,Austin-Lake,Tuesday,188107,Sunday,71930,116177
24,Belmont-North Main,Friday,1215217,Sunday,728893,486324
25,Belmont-O'Hare,Thursday,514822,Sunday,192064,322758
26,Berwyn,Friday,334777,Sunday,185600,149177
27,Bryn Mawr,Tuesday,477358,Sunday,243355,234003
28,California-Cermak,Friday,150948,Sunday,66367,84581
29,California-Lake,Tuesday,110442,Sunday,40389,70053
30,California/Milwaukee,Tuesday,589019,Sunday,228682,360337
31,Central Park,Wednesday,120931,Sunday,49824,71107
32,Central-Evanston,Friday,85183,Sunday,27714,57469
33,Central-Lake,Wednesday,203247,Sunday,94401,108846
34,Cermak-Chinatown,Saturday,465863,Sunday,376292,89571
35,Cermak-McCormick Place,Friday,190171,Sunday,91257,98914
36,Chicago/Franklin,Tuesday,753165,Sunday,186271,566894
37,Chicago/Milwaukee,Tuesday,431866,Sunday,139965,291901
38,Chicago/State,Friday,1514535,Sunday,827025,687510
39,Cicero-Cermak,Friday,127712,Sunday,62278,65434
40,Cicero-Forest Park,Friday,136107,Sunday,68360,67747
41,Cicero-Lake,Friday,126269,Sunday,62935,63334
42,Clark/Division,Friday,817029,Sunday,484738,332291
43,Clark/Lake,Thursday,2204286,Sunday,506468,1697818
44,Clinton-Forest Park,Tuesday,372073,Sunday,113262,258811
45,Clinton-Lake,Tuesday,479820,Sunday,91524,388296
46,Conservatory,Friday,93661,Sunday,49822,43839
